,vio
0,7
1,16
2,18
3,12
4,13
5,13
6,0
7,0
8,0
9,0
10,0
11,0
12,10
13,4
14,4
15,0
16,0
17,0
18,4
19,4
20,7
21,4
22,7
23,9
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
